data,classifier,train_acc,test_acc,time
original,Ridge-alpha1,67.77601690438458,66.19160728424386,0.05639481544494629
original,Ridge-alpha0,57.68621236133122,57.957244655581945,0.18647003173828125
original,Logistic,55.44109878499736,58.43230403800475,0.07909774780273438
original,Perceptron,47.173798203909136,44.813935075217735,0.05069589614868164
original,MLP-relu-30,52.905441098785,54.86935866983373,0.44915342330932617
original,MLP-tanh-30,56.57686212361331,59.224069675376086,2.1688342094421387
original,MLP-relu-100,47.56999471737982,44.89311163895487,1.1501128673553467
original,MLP-tanh-100,55.86370839936608,59.38242280285036,1.7091443538665771
original,MLP-relu-300,45.61542525092446,42.59699129057799,2.8427469730377197
original,MLP-tanh-300,57.316428948758585,59.30324623911322,5.350461959838867
original,KNN-1,99.97358689910196,56.057007125890735,0.0021126270294189453
original,KNN-3,77.7337559429477,57.086302454473476,0.0007698535919189453
original,KNN-5,72.00211304807185,56.452889944576405,0.0010838508605957031
original,KNN-10,65.50449022715267,54.156769596199524,0.0011932849884033203
original,SVM-linear,50.871632329635496,54.790182106096594,1.7038493156433105
original,SVM-rbf,55.44109878499736,58.43230403800475,1.7342448234558105
original,SVM-poly-3,55.44109878499736,58.43230403800475,2.717231512069702
original,DecisionTree,99.9471737982039,56.13618368962787,0.12642312049865723
original,RandomForest-gini-30,99.81510829371368,62.31195566112431,0.2653231620788574
original,RandomForest-entropy-30,99.9471737982039,63.97466349960412,0.32727599143981934
original,RandomForest-gini-100,99.9471737982039,65.24148851939826,0.9769418239593506
original,RandomForest-entropy-100,99.9471737982039,64.52889944576405,1.0238103866577148
original,RandomForest-gini-200,99.9471737982039,62.47030878859857,1.7525103092193604
original,RandomForest-entropy-200,99.9471737982039,64.68725257323833,2.1258292198181152
original,AdaBoost-50,68.17221341785526,64.21219319081551,0.7246005535125732
original,AdaBoost-100,69.83623877443212,64.29136975455265,1.4297499656677246
normalized,Ridge-alpha1,67.77601690438458,66.19160728424386,0.011684656143188477
normalized,Ridge-alpha0,57.68621236133122,57.957244655581945,0.1335587501525879
normalized,Logistic,55.44109878499736,58.43230403800475,0.0917351245880127
normalized,Perceptron,47.173798203909136,44.813935075217735,0.04044651985168457
normalized,MLP-relu-30,47.78129952456418,45.051464766429135,0.43923282623291016
normalized,MLP-tanh-30,57.210776545166404,58.82818685669042,2.4701061248779297
normalized,MLP-relu-100,48.17749603803487,46.15993665874901,1.2564420700073242
normalized,MLP-tanh-100,56.36555731642895,58.51148060174189,1.3187148571014404
normalized,MLP-relu-300,57.10512414157422,59.30324623911322,3.306093215942383
normalized,MLP-tanh-300,57.554146856840994,59.77830562153603,2.2591073513031006
normalized,KNN-1,99.97358689910196,56.057007125890735,0.0014319419860839844
normalized,KNN-3,77.7337559429477,57.086302454473476,0.0009708404541015625
normalized,KNN-5,72.00211304807185,56.452889944576405,0.0008444786071777344
normalized,KNN-10,65.50449022715267,54.156769596199524,0.001077890396118164
normalized,SVM-linear,50.871632329635496,54.790182106096594,1.8573107719421387
normalized,SVM-rbf,55.44109878499736,58.43230403800475,1.825904130935669
normalized,SVM-poly-3,55.44109878499736,58.43230403800475,3.0446701049804688
normalized,DecisionTree,99.9471737982039,55.10688836104513,0.13031506538391113
normalized,RandomForest-gini-30,99.89434759640781,63.10372129849564,0.27311205863952637
normalized,RandomForest-entropy-30,99.89434759640781,62.94536817102138,0.3124666213989258
normalized,RandomForest-gini-100,99.9471737982039,63.49960411718131,0.9030442237854004
normalized,RandomForest-entropy-100,99.9471737982039,63.57878068091845,1.037834882736206
normalized,RandomForest-gini-200,99.9471737982039,62.54948535233571,1.7952053546905518
normalized,RandomForest-entropy-200,99.9471737982039,64.29136975455265,2.0739905834198
normalized,AdaBoost-50,68.17221341785526,64.21219319081551,0.7276954650878906
normalized,AdaBoost-100,69.83623877443212,64.29136975455265,1.695033311843872
PCA10,Ridge-alpha1,67.77601690438458,66.19160728424386,0.02435898780822754
PCA10,Ridge-alpha0,57.68621236133122,57.957244655581945,0.1429290771484375
PCA10,Logistic,55.44109878499736,58.43230403800475,0.08165264129638672
PCA10,Perceptron,47.173798203909136,44.813935075217735,0.04716205596923828
PCA10,MLP-relu-30,56.391970417326995,59.30324623911322,0.8686199188232422
PCA10,MLP-tanh-30,55.44109878499736,58.43230403800475,2.1050028800964355
PCA10,MLP-relu-100,56.25990491283677,57.87806809184482,1.0862436294555664
PCA10,MLP-tanh-100,56.18066561014263,58.90736342042755,1.981736421585083
PCA10,MLP-relu-300,56.973058637083994,58.90736342042755,3.2468926906585693
PCA10,MLP-tanh-300,50.95087163232964,47.66429136975455,6.626129150390625
PCA10,KNN-1,99.97358689910196,56.057007125890735,0.0014078617095947266
PCA10,KNN-3,77.7337559429477,57.086302454473476,0.0007762908935546875
PCA10,KNN-5,72.00211304807185,56.452889944576405,0.0007364749908447266
PCA10,KNN-10,65.50449022715267,54.156769596199524,0.0017561912536621094
PCA10,SVM-linear,50.871632329635496,54.790182106096594,2.000483989715576
PCA10,SVM-rbf,55.44109878499736,58.43230403800475,1.9197642803192139
PCA10,SVM-poly-3,55.44109878499736,58.43230403800475,3.002506971359253
PCA10,DecisionTree,99.9471737982039,55.10688836104513,0.13381624221801758
PCA10,RandomForest-gini-30,99.86793449550977,64.68725257323833,0.2809171676635742
PCA10,RandomForest-entropy-30,99.89434759640781,63.262074425969914,0.32444119453430176
PCA10,RandomForest-gini-100,99.9471737982039,64.05384006334126,0.9880654811859131
PCA10,RandomForest-entropy-100,99.9471737982039,64.44972288202692,1.1214401721954346
PCA10,RandomForest-gini-200,99.9471737982039,64.05384006334126,1.8478741645812988
PCA10,RandomForest-entropy-200,99.9471737982039,63.97466349960412,2.0748937129974365
PCA10,AdaBoost-50,68.17221341785526,64.21219319081551,0.8740108013153076
PCA10,AdaBoost-100,69.83623877443212,64.29136975455265,1.7485878467559814
PCA1,Ridge-alpha1,67.77601690438458,66.19160728424386,0.025936365127563477
PCA1,Ridge-alpha0,57.68621236133122,57.957244655581945,0.1594984531402588
PCA1,Logistic,55.44109878499736,58.43230403800475,0.06607437133789062
PCA1,Perceptron,47.173798203909136,44.813935075217735,0.05196213722229004
PCA1,MLP-relu-30,56.68251452720549,59.14489311163896,1.1169722080230713
PCA1,MLP-tanh-30,57.71262546222927,59.61995249406176,4.258172273635864
PCA1,MLP-relu-100,56.286318013734814,57.79889152810768,1.1469974517822266
PCA1,MLP-tanh-100,57.078711040676176,60.01583531274743,1.577599287033081
PCA1,MLP-relu-300,45.19281563655573,42.59699129057799,1.7735381126403809
PCA1,MLP-tanh-300,55.73164289487586,59.14489311163896,3.685621738433838
PCA1,KNN-1,99.97358689910196,56.057007125890735,0.0014290809631347656
PCA1,KNN-3,77.7337559429477,57.086302454473476,0.0008852481842041016
PCA1,KNN-5,72.00211304807185,56.452889944576405,0.0007486343383789062
PCA1,KNN-10,65.50449022715267,54.156769596199524,0.000965118408203125
PCA1,SVM-linear,50.871632329635496,54.790182106096594,1.7699058055877686
PCA1,SVM-rbf,55.44109878499736,58.43230403800475,1.82963228225708
PCA1,SVM-poly-3,55.44109878499736,58.43230403800475,3.0097105503082275
PCA1,DecisionTree,99.9471737982039,56.452889944576405,0.13706731796264648
PCA1,RandomForest-gini-30,99.92076069730587,62.94536817102138,0.2822763919830322
PCA1,RandomForest-entropy-30,99.92076069730587,62.23277909738717,0.33243465423583984
PCA1,RandomForest-gini-100,99.9471737982039,62.86619160728424,0.9199004173278809
PCA1,RandomForest-entropy-100,99.9471737982039,63.49960411718131,1.2048768997192383
PCA1,RandomForest-gini-200,99.9471737982039,64.13301662707839,1.8243119716644287
PCA1,RandomForest-entropy-200,99.9471737982039,64.44972288202692,2.1041526794433594
PCA1,AdaBoost-50,68.17221341785526,64.21219319081551,0.733619213104248
PCA1,AdaBoost-100,69.83623877443212,64.29136975455265,1.6962180137634277
